Red,Green,Blue,Nearest Color Name
224,96,32,Chocolate
224,96,64,IndianRed
224,96,96,IndianRed
224,96,128,LightCoral
224,96,160,HotPink
224,96,192,HotPink
224,96,224,MediumOrchid
224,128,0,DarkOrange
224,128,32,Chocolate
224,128,64,Coral
224,128,96,Coral
224,128,128,LightCoral
224,128,160,LightCoral
224,128,192,HotPink
224,128,224,HotPink
224,160,0,GoldenRod
224,160,32,GoldenRod
224,160,64,GoldenRod
224,160,96,DarkSalmon
224,160,128,DarkSalmon
224,160,160,BurlyWood
224,160,192,LightPink
224,160,224,LightPink
224,192,0,Gold
224,192,32,GoldenRod
224,192,64,GoldenRod
224,192,96,DarkKhaki
224,192,128,BurlyWood
224,192,160,BurlyWood
224,192,192,LightGray
224,192,224,LightGray
224,224,0,Gold
224,224,32,Gold
224,224,64,GreenYellow
224,224,96,Khaki
224,224,128,Khaki
224,224,160,Khaki
224,224,192,LightGray
224,224,224,Gainsboro
